Country Code,Year,ENI,POP,URB,AFL,TI,TS,CTS,KAOPEN
AGO,2006,0.0689698534734745,16.1625900376995,56.764,6652.0971364916895,,0.9462515933204761,0.302905268715587,-1.2185401916503906
AGO,2007,0.06452733277537233,16.7685593968076,57.524,7309.99030864963,,1.0806006789397826,0.42570956940267773,-1.920277714729309
AGO,2008,0.06283064803066339,17.4024496671212,58.282,7830.233046252791,,1.2136470790564033,0.6363703044904045,-1.920277714729309
AGO,2009,0.06769988222242349,18.0591008261811,59.034,7610.31042285072,,1.2244614234414557,0.6457570029872779,-1.920277714729309
AGO,2010,0.06772396893074188,18.7344557632149,59.783,7692.436911854091,,1.0412362995911906,0.4707671214660692,-1.920277714729309
AGO,2011,0.06798048166150435,19.427818240154,60.528,7675.448432034921,,0.9998250785379122,0.49123666911773034,-1.920277714729309
AGO,2012,0.0687302376847308,20.139513114622602,61.268,8036.6902870332715,,0.9180009860646733,0.46487209274251295,-1.920277714729309
AGO,2013,0.065568326689367,20.8677147669848,62.002,8140.531207893291,,0.8681193078336027,0.4318669917274063,-1.920277714729309
AGO,2014,0.06609471129208024,21.6104748536135,62.731,8239.83207659947,,0.7933292750926974,0.37503499714441496,-1.920277714729309
AGO,2015,,22.366552498596306,63.44600000000001,8036.41409222015,,0.6288852078505132,0.2091096252517923,-1.920277714729309
AGO,2016,,23.1350637683484,64.149,7568.99722478798,,0.5337015527854692,0.13142370021541688,-1.920277714729309
AGO,2017,,23.9165380604797,64.839,7310.901738035359,,0.5225682144881786,0.13671265420758819,-1.920277714729309
AGO,2018,,24.713052057431607,65.514,6933.509308206079,,0.663780119350295,0.16239388670945257,-1.920277714729309
AGO,2019,,,66.17699999999999,6653.90767287624,,,,
ALB,1980,,97.51813868613141,33.762,,,,,
ALB,1981,,99.491094890511,34.024,,,,,
ALB,1982,,101.61598540146,34.287,,,,,
ALB,1983,,103.79416058394199,34.552,,,,,
ALB,1984,,106.00105839416099,34.817,,,0.38115683021292757,0.008398754130841651,
ALB,1985,,108.20299270073,35.083,,,0.35934823972195934,0.007510607156621858,
ALB,1986,,110.315145985401,35.35,,,0.3163730487805605,0.005874357260695712,
ALB,1987,,112.540328467153,35.619,,,0.3215956391693805,0.00512161900054621,
ALB,1988,,114.683795620438,35.88800000000001,,,0.3689787073527001,0.005783300853469037,
ALB,1989,,117.808138686131,36.158,,,0.40066086463479045,0.006844175274376011,
ALB,1990,0.1650316408923957,119.946788321168,36.428,4927.87741249129,,0.39436963403114167,0.00565145341124329,
ALB,1991,0.16046924170918253,119.225912408759,36.7,3569.41827511617,,0.3607052006328285,0.0025171378304298074,
ALB,1992,0.12549734436054372,118.505072992701,37.249,3333.03172181427,,1.087854722411591,0.012256410948028294,
ALB,1993,0.11224250751071983,117.784197080292,37.799,3673.99917919553,0.4957724553161835,0.8051833277041301,0.012901025924969362,
ALB,1994,0.1102145594411648,117.063357664234,38.354,4003.54814868956,0.24941263324869933,0.5310258473561107,0.008295395956143613,
ALB,1995,0.09135432743202199,116.342481751825,38.911,4565.02559578827,0.15684877018016277,0.47610594872971285,0.007457301213513869,-0.1483880877494812
ALB,1996,0.08936435558743247,115.621642335766,39.473,5011.49331092049,0.15782663880079534,0.44895427261101,0.008463714805693748,-0.1483880877494812
ALB,1997,0.08561304371891294,114.90076642335801,40.035,4492.247228013121,0.2858702892149716,0.45425523348367075,0.005948227935974184,-0.1483880877494812
ALB,1998,0.08672800625077454,114.179927007299,40.601,4919.7812509814,0.6712417653019149,0.4813748353540032,0.007636274059710055,-0.1483880877494812
ALB,1999,0.10308831338138769,113.459051094891,41.169,5589.2235829959,1.0936773227293812,0.5101107175477081,0.010420439111762554,-0.1483880877494812
ALB,2000,0.09649346079862955,112.738211678832,41.74100000000001,6015.897444287441,2.0071045024857344,0.6345407439867349,0.0161696440521946,-0.1483880877494812
ALB,2001,0.09082438493256112,111.68514598540101,42.435,6576.045112710961,3.9213469303859623,0.6649104645371433,0.02040341472955133,-0.1483880877494812
ALB,2002,0.09572514765694913,111.35072992700701,43.50100000000001,6895.24122204126,7.800695507389356,0.6852503791722733,0.023784489513216784,-0.1483880877494812
ALB,2003,0.08874365775702721,110.934890510949,44.573,7303.827715035691,12.863466964248115,0.6702060850932383,0.025408042394984436,-0.1483880877494812
ALB,2004,0.09244821644392145,110.472226277372,45.651,7738.54283618405,13.743256801673242,0.6704722820834197,0.026923212313448464,-0.1483880877494812
