year,ISG,TO,P_GDP,P_GDPb,P_GDPl,FX,EI,EIb,EIl,TI,EIc
1983,,50.5341286559484,8691.51881306514,,15980.804405628502,0.659724582333333,0.3886438015325025,,0.2113726460109348,34691.0,
1984,,55.1102049886726,8179.19444064991,,16318.731259993401,0.75180666625,0.4120851958281691,,0.2065433206229081,32828.0,
1985,,54.6485801479865,8652.21654247593,,16964.8503575615,0.77924599975,0.41039007446537895,,0.20930239385074448,31965.0,
1986,,50.259111746943205,10611.112210096,,17457.1562281211,0.682197333333333,0.33907328685216764,,0.20610142036986648,31103.0,
1987,,49.6314896318796,13118.586534629,,18343.4646795318,0.6119265,0.2758740249694613,,0.19729518563941506,30364.0,
1988,,47.1239507417853,15987.168077568798,,19356.6951932383,0.562170166666667,0.22787068126081084,,0.18820396999066602,30471.0,
1989,,48.4357315643799,16239.2821960944,,19802.3050329582,0.61117275,0.22330407323410675,,0.1831250379564661,29369.0,
1990,27.8990652180622,48.0005577473756,19095.4669984608,16698.341764666002,19889.1634679583,0.5631771666666671,0.1883720162982619,0.21541370223170356,0.1808548472363796,28238.0,0.125044
1991,27.175499949071398,45.0737537617714,19900.7266505069,17022.7423409092,19612.045808284198,0.567015333333333,0.18632244117746893,0.2178234209547411,0.189065027023428,27587.0,0.130807
1992,26.769470015026002,46.0606421738548,20487.1707852878,17428.6011592458,19631.6496262044,0.569774166666667,0.17985521641251492,0.2114182602264301,0.18769306733906388,26687.0,0.130047
1993,26.1770668075859,49.482330211633204,18389.0195675099,18248.570164266002,20079.4159748881,0.666756553333333,0.20192407786710792,0.203478178598383,0.18492499103028984,26649.0,0.128141
1994,26.7040443587996,51.60677886086351,19709.238098365302,19312.176903805,20808.4578864404,0.653426604166667,0.1893792695358,0.1932729351417745,0.17937519130660018,26465.0,0.127267
1995,24.8005674212679,50.83772269285149,23123.177790200898,20522.3137537802,21494.7143583752,0.63366812,0.1612651680532653,0.1817028624063116,0.17348279628611704,27521.0,0.121555
1996,24.926783834576103,52.133326719904794,24332.6977665594,21851.848232371598,21974.2387902408,0.640958255,0.1594489367017733,0.17755124164810426,0.17656232932567462,28005.0,0.123492
1997,24.0521482539366,50.60249820169379,26734.5626114537,23039.9477994598,22762.606917021098,0.610836114166667,0.14066855776579507,0.1632257328786446,0.16521448438493253,28109.0,0.115211
1998,23.3864994469948,48.9562152364474,28214.274355868998,23637.002818097997,23523.6213307127,0.603823594166667,0.13422668270629273,0.1602194864085673,0.16099172820848928,29613.0,0.112744
1999,23.054724004727397,49.23573720707271,28669.539690801,24414.6853180808,24249.0808225408,0.618056845,0.13198935625166455,0.15499172070090111,0.15605020724343802,31732.0,0.109527
2000,23.1485208337326,52.1319288715111,28149.8700107891,26407.209920783,24993.1755299154,0.660930833333333,0.13448563439188213,0.14336058742315394,0.1514714735595987,32747.0,0.106163
2001,22.0619247919444,52.273626806637104,27744.5064592461,27756.812632112997,25637.674352495098,0.694655,0.13642081469267944,0.13636033159072886,0.14763149427585676,32081.0,0.103946
2002,21.722558606955598,50.7986302716023,30056.586217930097,29068.5938574601,26122.762171078302,0.667223333333333,0.12263100874801887,0.12679902940955765,0.1410979996406109,31531.0,0.100041
2003,21.058407569460698,49.9157040225086,34419.1479145952,30261.5776899297,26855.9110054043,0.6124725000000001,0.10841667921165757,0.12331180338416547,0.13894928820118355,31624.0,0.098512
2004,20.2626563484753,49.973941920783396,40290.3139710116,31964.595966061603,27337.479293534303,0.54618,0.09169644589933708,0.11558033141519393,0.13514335230549096,29954.0,0.095041
2005,20.2103598577357,52.349753701637404,42030.2866138136,32668.226316135497,28013.729747382902,0.549998333333333,0.08770722737800762,0.11284236459999702,0.13159118539526024,27988.0,0.092644
2006,20.205461573248197,56.255953700633896,44599.697568569696,34767.0011352627,28583.963322980602,0.5434866666666671,0.0806913634484648,0.10351224692045552,0.12590312846167628,25745.0,0.088882
2007,19.6785306174068,52.4590259133152,50566.8265956828,35600.007793119104,29051.6136705077,0.4997716666666671,0.06806122612159735,0.09667526589265477,0.11846640459336055,24999.0,0.083693
2008,20.035838033222802,56.1301087908846,47286.9984928367,36660.192563540295,28742.8260636195,0.54396625,0.0710973549619448,0.09170657003787136,0.11696763948989347,23379.0,0.083019
2009,18.737072416438,54.3518422190244,38713.1374283353,35003.497418398,27314.4943667949,0.641919263495996,0.08125370019172076,0.08986489619832977,0.11516177527733401,22465.0,0.08151
