Country,Year,ENI,POP,URB,AFL,TI,TS,CTS,KAOPEN
ARG,1990,-1.62834794751918,2.478135080393339,4.465724193695448,8.881237715298697,2.1884390258307005,-1.8977295706492556,-2.866435622124652,-1.2185401916503906
ARG,1991,-1.7186219701833498,2.492149479005038,4.469671144525927,8.98787978208031,2.133745806870369,-1.9839092658941664,-2.7624227877928944,-1.2185401916503906
ARG,1992,-1.7671780468901843,2.505671297926915,4.472118678200419,9.073271493435758,1.9773433722446205,-1.915217387033218,-2.540315264417034,-1.2185401916503906
ARG,1993,-1.8665600471726527,2.518731888808744,4.474514654109034,9.162503066779408,2.1941747740562882,-1.8187308622286935,-2.257578804212954,1.3114904165267944
ARG,1994,-1.882579712536461,2.5313850748340005,4.47688216568656,9.22770130716774,2.323790939971541,-1.7073624840996278,-2.0218815194495363,1.5670140981674194
ARG,1995,-1.8601603383307859,2.5436773811371256,4.479198716426141,9.207295801817105,2.504951330767053,-1.6209325690807659,-1.975564000087323,1.8225377798080444
ARG,1996,-1.8958605983718997,2.5556134977716063,4.481487280275514,9.267298097631047,2.673811217617694,-1.5368164400225206,-1.8006181446709244,1.0079092979431152
ARG,1997,-1.9594294490824158,2.567208351300045,4.483725454498716,9.35078888964163,2.799191614303239,-1.4551652895960252,-1.591816930897941,2.07806134223938
ARG,1998,-1.9747716004602955,2.5785309756882513,4.48592483166474,9.388437687600545,2.863609257511149,-1.454572003883799,-1.556011589812624,1.8225377798080444
ARG,1999,-1.9376824423634311,2.5896645590880083,4.488096898400948,9.357197994601648,2.8739212795969564,-1.542585899367196,-1.8225405429392219,1.5670140981674194
ARG,2000,-1.9400839376433603,2.6006703963379434,4.490230603883271,9.36037941657258,2.8902600010308883,-1.4862276407807724,-1.7848102846705214,1.3114904165267944
ARG,2001,-1.9666637677136827,2.6115911911667373,4.492326183203535,9.326065944660543,2.741060491209542,-1.520866045446741,-1.8906229894463453,-1.2185401916503906
ARG,2002,-1.895502984240787,2.622426704880913,4.494350350882848,9.215575311275188,2.55723849822304,-0.8734054827228355,-1.6171754805330065,-1.2185401916503906
ARG,2003,-1.9309354422971208,2.633146645280283,4.496314681075404,9.307937527374442,2.4819388920420997,-0.9003005580680044,-1.548969004240707,-0.1483880877494812
ARG,2004,-1.95555491859813,2.6437005391225568,4.498252903642014,9.41039870442006,2.481211477531256,-0.8991227951489545,-1.4815472136933796,-0.1483880877494812
ARG,2005,-2.065054682222064,2.654063350798394,4.50015405546734,9.515525869043566,2.606198265469388,-0.9026030626225761,-1.4302924188255968,-0.1483880877494812
ARG,2006,-2.0879984582158464,2.6642177675022882,4.502029427068578,9.612582170138788,2.660000971088645,-0.9055120345104123,-1.4042732390073278,-0.8501256704330444
ARG,2007,-2.1878827904359848,2.6742063565390066,4.503868090457766,9.715349784345017,2.672196390383786,-0.8929363162561583,-1.3120538838607292,-0.8501256704330444
ARG,2008,-2.195232518125955,2.684132287837155,4.505681287487349,9.764459291656319,2.6338358723176123,-0.9062742304618348,-1.2447991563280025,-0.8501256704330444
ARG,2009,-2.1698522532914297,2.6941277351778674,4.507458123972728,9.701049407533059,2.508919645299645,-1.0771308682314513,-1.4413977493289367,-0.8501256704330444
ARG,2010,-2.236985151439,2.7016498657005554,4.509198787626951,9.801561928604688,2.447944163642202,-1.0506506601089736,-1.3150832282186882,-0.8501256704330444
ARG,2011,-2.292375455879852,2.7131804585011974,4.5107496103686,9.869011376676323,2.458221941962924,-1.043949260716378,-1.241812169782772,-0.8501256704330444
ARG,2012,-2.3165982293502756,2.724549515439095,4.512188293617776,9.885392462623432,2.4451920999225143,-1.1865736391200528,-1.5178830318994376,-1.920277714729309
ARG,2013,-2.3257741548449293,2.7357406074390718,4.513592033498442,9.910049993773551,2.4254459218372344,-1.2264253534942773,-1.613903391373965,-1.920277714729309
ARG,2014,-2.271796739505068,2.746735218349256,4.514993805655305,9.88754979379231,2.3954111757601004,-1.2585418565676427,-1.7505104845959012,-1.920277714729309
AUS,1995,-1.4037734382449332,0.8554447976743896,4.4414505359137975,9.946483031802156,4.3542114144310675,-0.9728200349896685,-0.32647034729641267,2.333585023880005
AUS,1996,-1.4038948120396233,0.8685829906682638,4.439906316115583,9.996859566070825,4.406917695506207,-0.9588764698995574,-0.2588695813079621,2.07806134223938
AUS,1997,-1.4330188253848133,0.8797702475643647,4.438359708014043,10.039979590009684,4.528945494083186,-0.9656172451940644,-0.2180596551397833,1.8225377798080444
AUS,1998,-1.4707669979884586,0.8901926047207828,4.436787036691492,10.092978270296053,4.562254986261681,-0.9145315162461776,-0.1874924966194579,1.5670140981674194
AUS,1999,-1.5047827159077076,0.9016176565947258,4.435211888177536,10.13715015834415,4.651224163538758,-0.9381619627858698,-0.2984142247553412,1.3114904165267944
AUS,2000,-1.5396643883144177,0.9135403798292118,4.433610511838167,10.178024209133817,4.743798731538311,-0.890890779852945,-0.21501312964938754,1.0559668540954592
AUS,2001,-1.6138952518124285,0.927023963251926,4.432006566978902,10.216710611582725,4.763132828521827,-0.8127146191385657,-0.13201491768719475,1.0559668540954592
AUS,2002,-1.6402019004648705,0.9392296011053596,4.433456169780245,10.265287777538635,4.742534915264464,-0.8780975687225874,-0.23071033640907412,1.0559668540954592
AUS,2003,-1.6750549706245992,0.9515695677396246,4.434891817996452,10.299983544783249,4.6870971350821025,-0.9089143884493298,-0.26976251575527654,1.0559668540954592
AUS,2004,-1.7211881472889476,0.963163089361429,4.436313568647659,10.351368568991663,4.731294973088715,-0.990994494629089,-0.3516275220261379,1.0559668540954592
