Country Code,Year,KAOPEN
USA,1970,2.333585023880005
USA,1971,2.333585023880005
USA,1972,2.333585023880005
USA,1973,2.333585023880005
USA,1974,2.333585023880005
USA,1975,2.333585023880005
USA,1976,2.333585023880005
USA,1977,2.333585023880005
USA,1978,2.333585023880005
USA,1979,2.333585023880005
USA,1980,2.333585023880005
USA,1981,2.333585023880005
USA,1982,2.333585023880005
USA,1983,2.333585023880005
USA,1984,2.333585023880005
USA,1985,2.333585023880005
USA,1986,2.333585023880005
USA,1987,2.333585023880005
USA,1988,2.333585023880005
USA,1989,2.333585023880005
USA,1990,2.333585023880005
USA,1991,2.333585023880005
USA,1992,2.333585023880005
USA,1993,2.333585023880005
USA,1994,2.333585023880005
USA,1995,2.333585023880005
USA,1996,2.333585023880005
USA,1997,2.333585023880005
USA,1998,2.333585023880005
USA,1999,2.333585023880005
USA,2000,2.333585023880005
USA,2001,2.333585023880005
USA,2002,2.333585023880005
USA,2003,2.333585023880005
USA,2004,2.333585023880005
USA,2005,2.333585023880005
USA,2006,2.333585023880005
USA,2007,2.333585023880005
USA,2008,2.333585023880005
USA,2009,2.333585023880005
USA,2010,2.333585023880005
USA,2011,2.333585023880005
USA,2012,2.333585023880005
USA,2013,2.333585023880005
USA,2014,2.333585023880005
USA,2015,2.333585023880005
USA,2016,2.333585023880005
USA,2017,2.333585023880005
USA,2018,2.333585023880005
GBR,1970,-1.920277714729309
GBR,1971,-0.8501256704330444
GBR,1972,-0.8501256704330444
GBR,1973,-0.8501256704330444
GBR,1974,-0.8501256704330444
GBR,1975,-0.8501256704330444
GBR,1976,-0.8501256704330444
GBR,1977,-0.8501256704330444
GBR,1978,-0.8501256704330444
GBR,1979,1.3114904165267944
GBR,1980,1.5670140981674194
GBR,1981,1.8225377798080444
GBR,1982,2.07806134223938
GBR,1983,2.333585023880005
GBR,1984,2.333585023880005
GBR,1985,2.333585023880005
GBR,1986,2.333585023880005
GBR,1987,2.333585023880005
GBR,1988,2.333585023880005
GBR,1989,2.333585023880005
GBR,1990,2.333585023880005
GBR,1991,2.333585023880005
GBR,1992,2.333585023880005
GBR,1993,2.333585023880005
GBR,1994,2.333585023880005
GBR,1995,2.333585023880005
GBR,1996,2.333585023880005
GBR,1997,2.333585023880005
GBR,1998,2.333585023880005
GBR,1999,2.333585023880005
GBR,2000,2.333585023880005
GBR,2001,2.333585023880005
GBR,2002,2.333585023880005
GBR,2003,2.333585023880005
GBR,2004,2.333585023880005
GBR,2005,2.333585023880005
GBR,2006,2.333585023880005
GBR,2007,2.333585023880005
GBR,2008,2.333585023880005
GBR,2009,2.333585023880005
GBR,2010,2.333585023880005
GBR,2011,2.333585023880005
GBR,2012,2.333585023880005
GBR,2013,2.333585023880005
GBR,2014,2.333585023880005
GBR,2015,2.333585023880005
GBR,2016,2.333585023880005
GBR,2017,2.333585023880005
GBR,2018,2.333585023880005
AUT,1970,-0.014185254462063313
AUT,1971,-0.014185254462063313
AUT,1972,-0.014185254462063313
AUT,1973,1.055966854095459
AUT,1974,1.055966854095459
AUT,1975,1.055966854095459
AUT,1976,1.055966854095459
AUT,1977,1.055966854095459
AUT,1978,1.055966854095459
AUT,1979,1.055966854095459
AUT,1980,1.055966854095459
AUT,1981,1.055966854095459
AUT,1982,1.055966854095459
AUT,1983,1.055966854095459
AUT,1984,1.055966854095459
AUT,1985,1.055966854095459
AUT,1986,1.055966854095459
AUT,1987,1.055966854095459
AUT,1988,1.055966854095459
AUT,1989,1.055966854095459
AUT,1990,1.055966854095459
AUT,1991,1.3114904165267944
AUT,1992,1.5670140981674194
AUT,1993,1.8225377798080444
AUT,1994,2.07806134223938
AUT,1995,2.333585023880005
AUT,1996,2.333585023880005
AUT,1997,2.333585023880005
AUT,1998,2.333585023880005
AUT,1999,2.333585023880005
AUT,2000,2.333585023880005
AUT,2001,2.333585023880005
AUT,2002,2.333585023880005
AUT,2003,2.333585023880005
AUT,2004,2.333585023880005
AUT,2005,2.333585023880005
AUT,2006,2.333585023880005
AUT,2007,2.333585023880005
AUT,2008,2.333585023880005
AUT,2009,2.333585023880005
AUT,2010,2.333585023880005
AUT,2011,2.333585023880005
AUT,2012,2.333585023880005
AUT,2013,2.333585023880005
AUT,2014,2.333585023880005
AUT,2015,2.333585023880005
AUT,2016,2.333585023880005
AUT,2017,2.333585023880005
AUT,2018,2.333585023880005
BEL,1970,1.6318475008010864
BEL,1971,1.6318475008010864
BEL,1972,1.6318475008010864
BEL,1973,1.6318475008010864
BEL,1974,1.6318475008010864
BEL,1975,1.6318475008010864
BEL,1976,1.6318475008010864
BEL,1977,0.42749252915382385
BEL,1978,0.42749252915382385
BEL,1979,0.42749252915382385
BEL,1980,0.42749252915382385
BEL,1981,0.42749252915382385
BEL,1982,0.42749252915382385
BEL,1983,0.42749252915382385
BEL,1984,0.42749252915382385
BEL,1985,0.42749252915382385
BEL,1986,0.42749252915382385
BEL,1987,0.42749252915382385
BEL,1988,0.42749252915382385
BEL,1989,0.42749252915382385
BEL,1990,2.333585023880005
BEL,1991,2.333585023880005
BEL,1992,2.333585023880005
BEL,1993,2.333585023880005
BEL,1994,2.333585023880005
BEL,1995,2.333585023880005
BEL,1996,2.07806134223938
BEL,1997,1.8225377798080444
BEL,1998,1.5670140981674194
BEL,1999,1.5670140981674194
BEL,2000,1.5670140981674194
BEL,2001,1.8225377798080444
BEL,2002,2.07806134223938
BEL,2003,2.333585023880005
BEL,2004,2.333585023880005
BEL,2005,2.333585023880005
BEL,2006,2.333585023880005
BEL,2007,2.333585023880005
