year,ISG,TO,P_GDP,P_GDPb,EI,EIb,TI
1960,6.97381556958263,19.3039436708071,88.69121062947309,,,,
1961,6.79411774906471,22.4823523745223,97.1427301802098,,,,
1962,7.96386176172681,21.554848275691,99.57671365353079,,,,
1963,7.80459286326725,21.6397630631354,101.26049123389299,,,,
1964,10.423024456150301,24.150267810431103,99.5038642672935,,,,
1965,10.723024748933,23.0293137134448,105.78917034368901,,,,
1966,10.3150855684753,22.9361029749964,111.658639482303,,,,
1967,8.10282841164145,21.901860109321397,121.662093380214,,,,
1968,9.262345514757591,19.9371403769383,121.528897680862,,,,
1969,9.186404009269769,19.8113211700256,133.575436746777,,,,
1970,8.72908283074018,20.8205969538367,138.247964677775,,,,
1971,7.68383878031331,17.0190718372794,131.755763179652,,0.6496766571477256,,
1972,6.0641021055071604,19.407289555938497,93.0248701122493,,0.9339369236707532,,
1973,12.1103374893782,18.3946565109774,117.72581488208,,0.7856015169340907,,
1974,13.372728157837699,14.049621065410399,179.04506497598098,,0.5244169194112062,,245.0
1975,11.611047305759199,10.995626132386501,272.745197807152,,0.34589277066576085,,
1976,14.4492027919251,22.3822749296616,138.592233931828,,0.7072376046658899,,154.0
1977,16.7290739025876,19.4221981983695,128.809261111467,,0.7589487812168921,,119.0
1978,14.309712689670901,21.038514961189197,172.414696039675,,0.5704228148642444,,149.0
1979,15.6864548108505,21.9070635430834,196.442625605373,,0.5059826511679381,,131.0
1980,20.6332854789276,23.377231112235,222.632350948637,,0.4632455759552963,,136.0
1981,20.324464472349803,19.2471590909091,241.87036921667197,,0.42342728729448936,,172.0
1982,20.529565620447602,20.6069241937352,215.393257600295,,0.4889306244595921,,144.0
1983,21.3629213565608,20.3168806212371,199.336645408325,,0.5267277690007669,,163.0
1984,21.917864494144897,16.8117271749034,208.53463508422698,,0.4973407100319018,,166.0
1985,20.7903112426746,18.2221846249994,239.03922046371102,,0.4466627626938105,,136.0
1986,20.8304971497333,17.018742508278198,227.42302556881302,,0.48932923160768,,93.0
1987,20.050655946981,16.687797631296302,247.072311975068,,0.4316769723819421,,121.0
1988,20.4172265254505,17.6780643099612,263.222790451094,,0.43368687692640695,,133.0
1989,20.2878799649306,18.3251740190693,277.817839072227,,0.4204187311044645,,108.0
1990,20.6969619021422,18.9665020125385,297.567994452545,832.4340817198661,0.4031165403854677,0.14410099620779293,108.0
1991,21.738203614455,18.889826885074697,284.725599796572,869.33532826983,0.40557408630941205,0.1328340414005945,113.0
1992,22.477817761978898,19.934005502451104,285.095499369382,916.5185746663769,0.4179432867541211,0.13000691239522372,161.0
1993,23.8154253782171,23.1215830698982,291.714495241784,961.161710589347,0.4218814926682707,0.12804187404647435,107.0
1994,24.326451814127,22.865864554570305,290.652463953241,997.971592598519,0.43277628014691866,0.1260431590419267,128.0
1995,24.559855195765,28.2094960764218,319.60869435592997,1048.18420594648,0.4190893934894853,0.12778728501317654,226.0
1996,22.807331351178604,26.0760877233809,382.935749258557,1092.01768715192,0.34441984715238705,0.12077704764361435,153.0
1997,23.002927602614196,26.325513390083298,389.523624426251,1136.35459186552,0.3463301184634168,0.11871625631430364,165.0
1998,23.8328953649505,27.880063402839397,395.297460669815,1183.37670098855,0.348470311316403,0.11640370227597276,216.0
1999,23.495417502261898,28.3879405571158,397.35482187217997,1232.43447266784,0.34423686025129285,0.11098697684988924,249.0
2000,23.313608129943198,29.3217143619038,405.60330714176695,1301.46328479352,0.34217754871260586,0.10664023104540754,318.0
2001,23.769363297530898,32.0980170730117,402.59811515156304,1372.3625138677198,0.3699935685477655,0.10854181151867932,295.0
2002,24.042381726271895,28.9673807211649,400.61357453335296,1420.4312516704001,0.3737594573158229,0.10541383965950817,289.0
2003,23.7351098433304,27.657884900158,432.738897240785,1491.023591885,0.3582594186900456,0.10397741968258033,318.0
2004,24.0159300657023,26.858234149243103,460.75791673039004,1586.18216794146,0.33715091088042065,0.0979363874217688,316.0
2005,24.590646432540396,34.396934864464995,484.155407057992,1718.40287298916,0.3282386947604631,0.09248037312548098,344.0
2006,25.3971975676521,38.111924432592104,494.05014657654897,1864.19450265239,0.3400492563723581,0.09012009461189613,310.0
2007,25.738268718448897,39.942382653173496,541.065148395087,2024.2320950168698,0.3204917955429941,0.08566554267258213,299.0
2008,25.958793145890798,42.6209140325589,615.7775410530919,2163.55442727762,0.2922612509022837,0.08318159790976967,338.0
2009,26.4256589427145,40.092796223023,681.120536769049,2264.8714985892498,0.27492937343005297,0.08268020614895684,330.0
2010,26.1444945136097,37.8028426708321,757.6717571768941,2393.31583163503,0.26468694641665713,0.0837941324510811,342.0
2011,26.3909536160468,47.42084983568979,835.789340127412,2570.8501452547603,0.246075188370523,0.0799996140146657,306.0
2012,26.743660329818603,48.1109227476789,856.342857027401,2756.4434665931203,0.2490866207786909,0.07738361082680273,354.0
2013,27.636226292361805,46.2964027239758,951.889453456343,2934.6443524000106,0.2261638242221093,0.07335913084470265,303.0
2014,27.609110656341,44.514080196809594,1084.56542980269,3131.9226618332104,0.20489400923892034,0.07095352701465919,293.0
2015,28.1463235005595,42.0859990835216,1210.15876939761,3335.7597906534397,,,340.0
2016,28.7663244768021,37.9543007335199,1358.77902884543,3579.7567913484495,,,344.0
2017,,,,,,,302.0
2018,,,,,,,368.0
2019,,,,,,,
