year,NE.TRD.GNFS.ZS,NY.GDP.PCAP.KD,BG.GSR.NFSV.GD.ZS,BM.KLT.DINV.WD.GD.ZS,BN.CAB.XOKA.GD.ZS,BX.KLT.DINV.WD.GD.ZS,BX.TRF.PWKR.DT.GD.ZS,CM.MKT.LCAP.GD.ZS,CM.MKT.TRAD.GD.ZS,EG.EGY.PRIM.PP.KD,EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP.KD,EG.USE.COMM.GD.PP.KD,EN.ATM.CO2E.KD.GD,EN.ATM.CO2E.PP.GD,EN.ATM.CO2E.PP.GD.KD,ER.GDP.FWTL.M3.KD,FD.AST.PRVT.GD.ZS,FM.LBL.BMNY.GD.ZS,FS.AST.CGOV.GD.ZS,FS.AST.DOMO.GD.ZS,FS.AST.DOMS.GD.ZS,FS.AST.PRVT.GD.ZS,GB.XPD.RSDV.GD.ZS,GC.AST.TOTL.GD.ZS,GC.DOD.TOTL.GD.ZS,GC.LBL.TOTL.GD.ZS,GC.NFN.TOTL.GD.ZS,GC.NLD.TOTL.GD.ZS,GC.REV.XGRT.GD.ZS,GC.TAX.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.ZS,NE.CON.PRVT.ZS,NE.CON.TOTL.ZS,NE.DAB.TOTL.ZS,NE.EXP.GNFS.ZS,NE.GDI.FPRV.ZS,NE.GDI.FTOT.ZS,NE.GDI.TOTL.ZS,NE.IMP.GNFS.ZS,NE.RSB.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,NY.GDP.COAL.RT.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.KD.ZG.AD,NY.GDP.DEFL.ZS,NY.GDP.DEFL.ZS.AD,NY.GDP.DISC.CN,NY.GDP.DISC.KN,NY.GDP.FRST.RT.ZS,NY.GDP.MINR.RT.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.CN.AD,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.MKTP.KN,NY.GDP.MKTP.PP.CD,NY.GDP.MKTP.PP.KD,NY.GDP.NGAS.RT.ZS,NY.GDP.PCAP.CD,NY.GDP.PCAP.CN,NY.GDP.PCAP.KD.ZG,NY.GDP.PCAP.KN,NY.GDP.PCAP.PP.CD,NY.GDP.PCAP.PP.KD,NY.GDP.PETR.RT.ZS,NY.GDP.TOTL.RT.ZS,NY.GDS.TOTL.ZS,NY.GNS.ICTR.ZS,PA.NUS.PPP,PA.NUS.PPPC.RF,SE.XPD.PRIM.PC.ZS,SE.XPD.SECO.PC.ZS,SE.XPD.TERT.PC.ZS,SE.XPD.TOTL.GD.ZS,SH.XPD.CHEX.GD.ZS,SH.XPD.GHED.GD.ZS,SL.GDP.PCAP.EM.KD,TG.VAL.TOTL.GD.ZS
1986,50.2591117469432,24916.7056272992,10.8142972688245,2.82953970780042,-0.220092795315054,1.42482066983063,,78.6256952228919,18.7883783374075,,,,,0.402727372567551,,,,77.6106416839909,43.4692221266308,3.15004959652556,,54.8910460601836,77.6106416839909,,,,2.89828934637385,0.829370891835705,-1.66459100535935,33.9591188147527,24.5006836277848,34.9778582587354,4.52516505772451,20.3290528647782,67.0981348781778,87.521297601088,109.092145786976,24.827397681271,,21.5224721735464,21.5708481858883,25.4317140656721,-0.604316384401101,,,,,0.0280298864210627,4.3452857785355,,41.4666664783957,,0.0,0.0,0.0120701583309631,2.7753196913126e-05,601452653180.885,410311000000.0,,1412313658676.37,3.14052454418893,989495985200.0,,,0.191314405920271,10611.112210096,7238.90074972748,2.90191696468558,17457.1562281211,,,0.777277384962215,1.00871958883142,12.478702398912,16.8777433857354,,,,,,4.38084,,,,38.8098711952641
1987,49.6314896318796,26181.7390892334,10.3866743234372,3.88171437704432,-1.68950941079794,1.75464033712155,0.183732115890759,91.2165455508647,57.3097865165089,,,,,0.384533152680296,,,,82.7710460232693,74.0602897152194,2.60524382353909,,86.6792407311965,82.7710460232693,,,,0.389503580318665,0.875505795400963,-1.14153498623798,32.6095204675797,23.1587950829559,33.1374118627526,4.19144013246631,19.6199002774336,66.4621061265667,86.1271387496847,108.633889552926,24.3463175243714,,22.3633361113243,22.5067508032415,25.2851721075083,-0.938854583136864,,,,,0.0079168347685049,5.53268946038052,,43.7608883642171,,0.0,0.0,0.0104338450352491,7.89567979978049e-05,745162608269.325,455965000000.0,,1487176452833.59,5.30072011251248,1041946397900.0,,,0.0935170565239787,13118.586534629,8027.26310053951,5.07704943364693,18343.4646795318,,,1.02280595371477,1.1347526468405,13.8728612503153,17.1244308912795,,,,,,4.37181,,,,38.3357936683737
1988,47.1239507417853,27627.9291853015,9.60377375290586,4.57477536620858,-3.88147169402264,2.90410516796534,0.178702852438891,78.1792515323323,32.368990423143,,,,,0.362703404003857,,,,91.5754459408487,77.000259932652,1.59594739588525,,94.0352296690647,91.5754459408487,,,,-1.04657094109301,0.839797447969496,0.816931192113682,32.3035700674848,22.990749915473,30.9724412757416,3.76897459500343,18.8381539114001,66.9413015980972,85.7389558915788,110.939637911861,21.9255464155678,,24.2971250080618,25.2006820202826,25.1984043262174,-3.27285791064962,,,,,0.00694690796789467,6.10724560211857,,46.4334732942887,,0.0,0.0,0.00969047724074372,0.00080457320186246,910122732123.799,511671000000.0,,1572811786993.69,5.7582497353917,1101944273600.0,,,0.0745316506251034,15987.1680775688,8987.98589320919,5.52365941444593,19356.6951932383,,,0.580402472732092,0.672376081767696,14.2610441084212,17.3038467985101,,,,,,4.26831,,,,36.7538342020556
1989,48.4357315643799,28263.9508291385,9.57816258936935,3.38534461324581,-4.65090631621984,2.92466121996993,0.181747550887678,87.855646708278,34.2544741548281,,,,,0.360598229520373,,,,102.930035021323,83.5431553082724,2.95139379218799,,106.418045866637,102.930035021323,,,,-0.58674838308809,1.00774564351682,1.08965035162538,31.540373372497,22.7622715847149,29.6546233795577,3.61395698590674,18.4138555758748,66.3381302426074,84.6881498714943,110.523891691615,22.3908804756122,,25.4224386597283,25.8357418201203,26.0448510887678,-3.65397061315559,,,,,0.00748845801300678,7.94518065997671,,50.122696634222,53.6838636933591,0.0,0.0,0.0112653462723107,0.00161671306539571,926884816753.927,566512000000.0,566512000000.0,1613213353192.95,2.56874767428347,1130250441500.0,,,0.0772979277411358,16239.2821960944,9925.44927825291,2.30209669197825,19802.3050329582,,,0.729477625714153,0.827146070806003,15.3118501285057,17.0260150112026,,,,,,4.12511,,,,37.7690942469003
1990,48.0005577473756,28387.9244035205,9.6196086350861,2.55984960218268,-3.55031184555804,3.78380567982468,0.192015501781238,77.7416472133746,27.8315687398993,5.65787128053369,4.64223022788205,7.38152327812663,135.473392458608,0.342077903971235,0.581547665924444,0.36573455802931,135.203006959404,104.805960306851,84.9601980271995,4.21132646713434,,109.516740217616,104.805960306851,,-1.75157916621323,30.2033709452908,-0.842167839096403,1.22061548906644,-0.90941132711683,32.6096807883406,24.1512945995683,32.583043271347,3.56232123221255,18.6167212140211,66.6655186275832,85.3592494717163,108.323892001111,23.071900651807,,23.5026482727032,22.9646425293947,24.9286570955686,-1.85675644376154,1.39983535090868,16.6711420510563,27.8990652180622,67.7019318209504,0.0402224423039379,7.88026002682429,7.88026002682429,54.072495461455,54.072495461455,0.0,0.0,0.0099687228301221,0.000350185220245604,1093169389204.55,615673000000.0,615673000000.0,1625140143652.04,0.73931885298893,1138606596100.0,955939756230.106,1520021889633.54,0.113242364403035,19095.4669984608,10754.5670135331,0.438627901426258,19889.1634679583,16698.341764666,26551.7202705026,0.867139405185309,1.03092311994265,14.6407505282837,15.7488072682073,0.64405,1.1435546875,,,,4.05552,,,,37.3362997565266
1991,45.0737537617714,27992.3926765887,9.2122204615478,2.06043603838239,-1.66449946529553,2.03397301702108,0.182807324254822,86.6223568752064,29.2057196488705,5.92485084361223,4.59087455158358,7.06097941991116,141.623412352699,0.352624698666454,0.579860097442323,0.37701072422333,,102.333764425911,82.0672689616431,3.66269217829331,,106.449566798258,102.333764425911,,-1.57678026316196,29.1948960284953,0.757910137260288,1.27799915427661,-2.33469040042224,33.01500387366,24.8471370411411,34.7840781769414,3.68179040258285,19.4750528422788,67.3073517900631,86.9281533907643,106.518338277008,22.3459285981055,,20.677861940287,19.590184886244,22.727825163666,-0.381896565560539,1.37320668059744,16.2670131920502,27.1754999490714,67.9215809780143,0.0336930643172395,6.40270809687844,6.40270809687844,57.5345995065498,57.5345995065498,0.0,0.0,0.00737910703514782,1.77200152754151e-05,1142797178130.51,647966000000.0,647966000000.0,1607460266236.66,-1.08789863350766,1126219710500.0,977529225584.248,1503485592267.2,0.102547665878888,19900.7266505069,11283.7120108374,-1.39330977957196,19612.0458082842,17022.7423409092,26181.7725553291,0.383937347439091,0.527574904685642,13.0718466092357,15.0563565155753,0.662861,1.16906701940035,,,,4.12248,,,57117.43359375,34.5565256510372
1992,46.0606421738548,28020.3733255505,10.0664731831667,2.21681154574135,-1.96702595518055,1.95066544669245,0.172366638583156,80.9456098129937,27.8413128315753,5.87744270248762,4.72996040611152,7.11259229636729,140.595715082776,0.344782344122466,0.554314710061792,0.368626025767929,,101.677998125474,56.4625020456135,2.59636699049348,,104.909769849889,101.677998125474,,-2.37960634958418,30.3997500632281,3.72331404257851,1.19835755835577,-6.1029203921627,32.4523558028475,24.2803159914902,37.6406266271925,3.45634288944761,19.9548637844593,68.3756826993171,88.4957002395227,107.326008316349,22.670278858027,,19.30747734948,18.8303080768258,23.3903633158278,-0.720084457800854,1.36190365532529,16.0490693872086,26.769470015026,68.8837700135382,0.0158926382988401,3.35191878294611,3.35191878294611,59.4631125541027,59.4631125541027,0.0,0.0,0.00711453287738444,0.0,1179659529659.53,672170000000.0,672170000000.0,1613424360275.27,0.371025907382233,1130398277400.0,1003545861047.04,1509063913328.27,0.0688140676758137,20487.1707852878,11673.589913457,0.0999580467631205,19631.6496262044,17428.6011592458,26207.9433437834,0.408575146264127,0.500396385116165,11.5042997604773,14.0341858634853,0.669795,1.1754914004914,,,,4.33449,,,58445.33203125,34.8875238704494
1993,49.4823302116332,28659.4729677929,10.8050525635026,2.86622636165955,-1.66961487109581,1.85476418901582,0.166582858657349,108.375316778903,39.3068016695538,5.78463253690252,4.91453190159403,7.21905815649713,138.522225243469,0.329897756281377,0.518106116982013,0.352712083089051,,99.876224683285,56.1429859240901,2.49217926509112,,103.170965362693,99.876224683285,,-1.07257811550667,35.3135500060757,6.41328521732741,1.07314329960126,-7.48586333283409,30.5948280003504,22.9810917661155,37.368983262073,3.21123472943224,19.2615304196209,69.334711035502,88.6662635962099,107.041352626834,24.5575996631503,,18.4438380097607,18.3750890306245,24.9247305484829,-0.367130885332625,1.37400774867394,15.6848254428924,26.1770668075859,69.783447834921,0.0025939806050673,2.69645465925565,2.69645465925565,61.0665084231062,61.0665084231062,0.0,0.0,0.00817528919442559,0.0,1061388722255.55,707734000000.0,707734000000.0,1654185057671.47,2.52634696734366,1158956060000.0,1053282177363.19,1547188103737.92,0.101641350507603,18389.0195675099,12261.7982476156,2.28083914092478,20079.4159748881,18248.570164266,26805.7043735998,0.464620442510373,0.577031062817469,11.3337364037901,13.8808392650908,0.671932,1.00769646070786,,,,,,,60808.04296875,36.8101706573374
1994,51.6067788608635,29700.0389375727,11.3884500478469,3.83455868527424,-0.879081535567206,1.71516994974046,0.172634287156158,100.249024953167,41.5704631879398,5.60407068783096,5.17403018310067,7.44241305117567,134.365022892949,0.318127525528476,0.489245720064206,0.340127873199021,,100.030864363201,57.4022136458059,5.41280414817041,,106.262916065035,100.030864363201,,-2.18036597083183,40.4800884599488,4.02149233221864,0.96471263935931,-6.20185830305047,31.6075233898196,23.7970949924584,37.079774985373,3.02457340082341,18.9081477490486,69.3065525043076,88.2500931298611,107.625608443953,25.7897769177505,,18.8690915812753,19.3755153140919,25.817001943113,-0.027225025362455,1.4204102410641,16.4069126243297,26.7040443587996,69.7755828131123,0.00241967292163081,1.34585270471877,1.34585270471877,61.8883736783959,61.8883736783959,0.0,0.0,0.00855953157584113,0.0,1140489745944.29,745196000000.0,745196000000.0,1718614879651.65,3.8949585284536,1204096917900.0,1117513504110.47,1607450438735.68,0.0841045215242145,19709.2380983653,12878.0161734719,3.63079241181154,20808.4578864404,19312.176903805,27778.9638539291,0.485250941810643,0.58033466783233,11.7499068701389,16.0306657606945,0.666834,1.02056014692378,,,,4.85083,,,62819.4765625,38.5058262524222
1995,50.8377226928515,30679.5369882622,10.8433459208765,4.21210025963988,-1.00152954214672,2.17125804499354,0.104290453655492,99.1317731202994,37.3985632384181,5.47548291832077,5.50349062616232,7.69519683459358,129.951191827157,0.302313761754093,0.451939598384075,0.323220496728163,147.228864922092,97.5267066747279,60.5245823737123,4.94070541849671,,103.142577532282,97.5267066747279,,0.149030420084643,43.922334802073,4.97975679929237,1.55088089093608,-4.77426655155135,30.9431614209998,23.2775635702372,35.0640230920695,2.56359446024741,17.1434385446538,64.0352074075294,81.1786459521832,99.727463706917,25.5551294929672,,18.0323279563189,18.5488177547338,25.2825931998843,0.272536293082965,1.3586822276225,15.5408028116994,24.8005674212679,64.5094699598429,0.00904428351249771,10.1515155867401,10.1515155867401,68.1709815787382,68.1709815787382,0.0,0.0,0.00803473030788831,0.0,1341584345905.0,850162000000.0,850162000000.0,1779996976908.1,3.57160280544558,1247102477200.0,1190684737349.98,1664862183701.71,0.0779242852622979,23123.1777902009,14653.1577656503,3.29796891091074,21494.7143583752,20522.3137537802,28695.1054456048,0.476496987209195,0.571500286291879,18.8213540478168,14.9817984950182,0.714011,1.12673347009626,,,,4.83926,,,63757.90625,37.6571925233073
