Country Code,Year,EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP.KD,EN.POP.DNST,IP.PAT.NRES,IP.PAT.RESD,NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.PP.CD,NY.GDP.PCAP.PP.KD,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
AFG,2009,,,43.492958674141505,,,2110577455.85643,4067099313.62424,49.6634257108719,21.897122206940605,12439087076.7667,1519.6925481355,1881.7776257347898,28394813.0,23.528000000000002
AFG,2010,,,44.7040820390283,,,2566011311.7345,5771312262.28347,52.579600041151295,21.1514206977128,15856574731.4411,1710.57564540856,2093.74356474335,29185507.0,23.737
AFG,2011,,,46.1315029255889,,,3057796258.2252197,7207299510.35062,57.6551722063408,22.7402524820273,17804292964.1045,1699.48799733991,2037.60860700679,30117413.0,23.948
AFG,2012,,,47.73056398002629,,,2339889153.51599,9817510132.908258,60.782138402373704,21.1578071539751,20001598505.7042,1914.77435127371,2220.48152554463,31161376.0,24.16
AFG,2013,,,49.42803817051129,,,1383202846.6012402,10054634817.5823,55.6286122752478,20.4446053132561,20561069558.2152,2015.5149620454101,2264.3175752325,32269589.0,24.373
AFG,2014,,,51.114778053487704,,,1985367815.21959,8246634993.00315,49.949036806486205,21.229663218180498,20484885119.7348,2069.42464180385,2249.25373797742,33370794.0,24.587
AFG,2015,,,52.7120715007812,,,1417300546.13462,8461684707.36777,49.62540795384621,22.124042490692602,19907111418.9938,2087.30532306683,2212.7508988517498,34413603.0,24.803
AFG,2016,,,54.197114235823896,,,1136013206.3494802,7327477073.75444,43.7104097857659,21.8232227792274,19362642266.6484,2128.98802616095,2200.76448734821,35383128.0,25.02
AFG,2017,,,55.5959930153479,,,1152895767.75209,7956454221.676579,45.11419504492021,22.1276696065895,20191760000.0587,2202.5708512665,2202.5708512665,36296400.0,25.25
AFG,2018,,,56.937760009803,,,1609466077.16169,7983844720.98436,49.235892379186,22.2799116026365,19484384936.6312,2241.92324554494,2190.2403213204398,37172386.0,25.495
AFG,2019,,,,,,1481080337.9762402,7233182126.38915,45.6211771200758,22.0890533136954,19101353832.7371,2293.55168387905,2202.27848949912,38041754.0,25.754
AGO,1980,,,6.69069463383332,,,,,,,5930503400.83228,,,8341289.0,24.298000000000002
AGO,1981,,,6.93065372583621,,,,,,,5550483035.90815,,,8640446.0,25.436999999999998
AGO,1982,,,7.18131868131868,,,,,,,5550483035.90815,,,8952950.0,26.612
AGO,1983,,,7.442124007379481,,,,,,,5784341596.36339,,,9278096.0,27.820999999999998
AGO,1984,,,7.71216331114141,,,,,,,6131475065.23832,,,9614754.0,29.065
AGO,1985,,,7.990693029598139,,,,,,,7553560459.1042795,,,9961997.0,30.338
AGO,1986,,,8.277942568380519,,,,,,,7072063345.44786,,,10320111.0,31.643
AGO,1987,,,8.574035453597501,,,,,,,8083872012.473259,,,10689250.0,32.978
AGO,1988,,,8.877877596855699,,,,,,,8769250549.73596,,,11068050.0,34.343
AGO,1989,,,9.18807812625331,,,,,,,10201099039.5655,,,11454777.0,35.731
AGO,1990,6.57971179905622,11.596974446055698,9.503798828908321,,,,,,,11228764963.1618,3267.06700380021,5758.32098938703,11848386.0,37.144
AGO,1991,6.7089945279257694,11.438033476057699,9.8250589556429,,,,,,,10603784541.196999,3299.5007556188502,5625.25426723131,12248901.0,38.58
AGO,1992,6.42543984699243,10.710523629242001,10.1526959172215,2.0,4.0,,,,,8307810973.58848,3075.12293289585,5125.90229150172,12657366.0,40.039
