year,ISG,TO,P_GDP,P_GDPb,P_GDPl,FX,EI,EIb,EIl,TI,EIc
1960,20.8343434548784,11.296833112611301,82.1886020091056,,16358.837560868798,4.761900003761901,,,,,
1961,21.434843973945103,10.2611625947938,85.3543011749033,,16632.1091559487,4.761900003761901,,,,,
1962,22.052600136240102,10.2007901790973,89.88175668635981,,16775.2733002115,4.761900003761901,,,,,
1963,21.8794758335698,10.1873378431737,101.126428181221,,17418.8419945043,4.761900003761901,,,,,
1964,20.9552885443752,9.41054892011691,115.537497020064,,18333.3162211168,4.761900003761901,,,,,
1965,21.655105074167103,8.51903436966277,119.318917211719,,17482.6217059153,4.761900003761901,,,,,
1966,21.3866171714769,10.814237511295302,89.9973059630537,,17112.6711719062,6.35912500535912,,,,,
1967,20.0894428790617,9.98106266821623,96.3391366489315,,18070.0621371063,7.5000000065,,,,,
1968,20.627115664208,8.98174447555349,99.8759646011063,,18291.6417415219,7.5000000065,,,,,
1969,21.4174846346842,7.74477664351313,107.622317828827,,19072.6678308774,7.5000000065,,,,,
1970,21.7293092920945,7.66176933796381,112.434493490322,,19618.9782674345,7.5000000065,,,,,
1971,22.392007907234998,7.669606558480691,118.603242102118,,19496.0946972719,7.491935230968241,2.254133687732688,,0.013712877765930736,,
1972,22.4080025883951,7.73639959731312,122.981863898262,,18947.1570715342,7.594468373949361,2.1735622867433277,,0.014108118717412332,,
1973,21.348230290746102,8.93209601875979,143.778688096538,,19121.314505588,7.74203856214968,1.8681679865398813,,0.014047294822234041,,
1974,22.675693396367002,10.8518902537537,163.478111157501,,18902.0095452723,8.1016032272183,1.6681961125200515,,0.014427754301038013,,
1975,23.2012520766751,12.2939782139566,158.036171764282,,20158.0304164728,8.37589194565386,1.7458521153593234,,0.013687239233079728,,
1976,24.4805234159193,12.8012030727464,161.092091731697,,20026.3789216913,8.96041272812392,1.740916670839138,,0.014003924979782327,,
1977,24.400262542616897,12.6481011377209,186.21350132527698,,20992.6869835928,8.738576171314572,1.5141096885966443,,0.013430756468882095,,
