Country Code,Year,ENI,POP,URB,AFL,TI,TS,CTS,KAOPEN
FIN,1990,-1.15872797166765,2.7955090924040698,4.37408266473189,9.805469591757715,4.8654712996467655,-0.779979671767669,-0.6303277647785493,1.0559668540954592
FIN,1991,-1.11662297672074,2.8009708125859514,4.3800622064475805,9.77232240573851,4.560353178415231,-0.8326755456869993,-0.8552426079424746,1.3114904165267944
FIN,1992,-1.1648325263770438,2.806589911093409,4.383625356037578,9.755460747595649,4.779961399427524,-0.6883229039625487,-0.7960825667112956,1.5670140981674194
FIN,1993,-1.1335338441464562,2.8114284519819925,4.38712611021858,9.767125179891828,4.421891485063578,-0.5418875541743489,-0.6798226611964536,1.8225377798080444
FIN,1994,-1.1276047721060554,2.8157389410102893,4.39058986533437,9.822534738361618,4.400846204345978,-0.47115251097666294,-0.4626114312921905,2.07806134223938
FIN,1995,-1.2392640783044846,2.819555494344862,4.393992260188592,9.880779566834002,4.307033197178323,-0.4451360540077125,-0.27779828321715894,2.333585023880005
FIN,1996,-1.194931095412307,2.8228358734811385,4.397198458291103,9.9060799201682,3.9502007014807705,-0.4197363010646399,-0.28903029639455946,2.333585023880005
FIN,1997,-1.2444359796531488,2.8258096467854013,4.400185755289792,9.989075721912553,3.9255818834089165,-0.3824130342563699,-0.2825085533607857,2.333585023880005
FIN,1998,-1.3166375573870248,2.8284643764097663,4.40313967751026,10.06800548838861,3.95243005002271,-0.4009680385269473,-0.2509454399013561,2.333585023880005
FIN,1999,-1.3715233765840744,2.830785538900955,4.406060493748427,10.117278733390634,4.011894835142678,-0.4118875600758912,-0.30154578705681373,2.333585023880005
FIN,2000,-1.4536757978222967,2.83286160405509,4.40894846802138,10.19596137301398,4.026841935976393,-0.2890853618549744,-0.20626610407424817,2.333585023880005
FIN,2001,-1.467351458304417,2.8351384774739525,4.411197011973662,10.233063543898247,3.937146500308644,-0.3527277701483797,-0.2848589780296237,2.333585023880005
FIN,2002,-1.4472214690169767,2.837562287976283,4.412834656315858,10.26134108272776,3.8188644921893515,-0.3667330348642077,-0.24620586448565965,2.333585023880005
FIN,2003,-1.41112357990614,2.839946860376967,4.414469623163249,10.27573271356404,3.7365427363066517,-0.384842189781611,-0.22358437623879307,2.333585023880005
FIN,2004,-1.4745749884538146,2.8428503639921554,4.416089839949582,10.347322084950823,3.748615686881023,-0.34305097904652215,-0.18947649390182061,2.333585023880005
FIN,2005,-1.5860543223271806,2.8462728499350223,4.417695373953336,10.375108435941254,3.669906433099617,-0.266844584330236,-0.1286799408054764,2.333585023880005
FIN,2006,-1.5766876557023646,2.8516877532168983,4.419286291597347,10.446206300742807,3.645955155622331,-0.19865226310599593,-0.060218994971408625,2.333585023880005
FIN,2007,-1.689966116389436,2.8560078193774547,4.42086265845908,10.540038921737803,3.640213130768554,-0.1880490979181244,-0.01822568396263321,2.333585023880005
FIN,2008,-1.7934737833080792,2.8612883225226513,4.422436544298818,10.598724978758892,3.6007144262886444,-0.1486817437417343,0.03088620404391498,2.333585023880005
FIN,2009,-1.802312862667323,2.8660707864574793,4.423995970746021,10.545573414130626,3.5892291788161956,-0.35491501818509946,-0.2736404264143727,2.333585023880005
FIN,2010,-1.7419671011795512,2.8706457318121394,4.428074948165718,10.570868963677253,3.531535002092911,-0.28150906615715804,-0.30747408332977133,2.333585023880005
FIN,2011,-1.83396584871589,2.8753142249895673,4.434536064269144,10.619296958503922,3.4941823300477397,-0.24105829623011463,-0.29155839946617573,2.333585023880005
FIN,2012,-1.873775690555781,2.8800723198563998,4.440778916519992,10.618227309746441,3.5188626286893894,-0.23356641926936758,-0.36031487148031627,2.333585023880005
FIN,2013,-1.9145827007843412,2.8846795575842545,4.444120764469677,10.633283431044394,3.463739600824635,-0.2601462006452137,-0.39176771164744684,2.333585023880005
FIN,2014,-1.9051752806338254,2.8888151596594462,4.44470796354703,10.639632012514268,3.3424684218401817,-0.299582971315441,-0.4835603142149352,2.333585023880005
FIN,2015,-1.970588833261414,2.892043187395531,4.445294818023966,10.657474186149823,3.251986667903816,-0.33711676625757886,-0.6095752486733289,2.333585023880005
ISR,1990,-1.817688086549483,5.372227273141412,4.503790624694829,9.625793905157169,4.4291804720310735,-0.44124021020038884,-0.8269842220263594,-1.2185401916503906
ISR,1991,-1.9220265594091155,5.4323973609736065,4.504940927329106,9.673303707632305,4.3189015413334575,-0.5304417992216802,-0.8880503921083851,-1.2185401916503906
ISR,1992,-1.8800916852828338,5.46695202996092,4.50606782494488,9.736012011197598,4.287033601528147,-0.5449294103497233,-0.9069888553235471,-1.2185401916503906
ISR,1993,-1.8966756785281367,5.4935329477525245,4.507182424659678,9.773190418889115,4.31932384755397,-0.4561165714676461,-0.6687721459425925,-0.1483880877494812
ISR,1994,-1.924946846452328,5.519425576240005,4.508295783424986,9.84007582544774,4.2957053830283005,-0.4598754778952845,-0.6193704315332106,-0.1483880877494812
ISR,1995,-1.9620502718929402,5.546108445806186,4.509385893810255,9.898085349023699,4.379543843645654,-0.46657694259928395,-0.6109244989069815,-0.1483880877494812
ISR,1996,-2.0011873667776605,5.572273505231461,4.51023293663656,9.938993527923051,4.065772038498323,-0.4899630039870447,-0.6128211262548348,-1.2185401916503906
ISR,1997,-2.0049570942343777,5.597257455664397,4.51095840272536,9.97089437582051,3.9009960156792314,-0.5029218486850286,-0.6247656593980193,-1.2185401916503906
ISR,1998,-2.033055924125597,5.620126242568712,4.511672362872777,10.00058789509936,4.438831425267792,-0.5145355672627505,-0.6231980810821256,-0.9630165100097656
